"prefectures","value","year","sex"
"宮城県","822.1",1949,"female"
"宮城県","98.9",1949,"ratio"
"宮城県","829",1950,"male"
"宮城県","835",1950,"female"
"宮城県","99.3",1950,"ratio"
"宮城県","822",1951,"male"
"宮城県","845",1951,"female"
"宮城県","97.3",1951,"ratio"
"宮城県","827",1952,"male"
"宮城県","854",1952,"female"
"宮城県","96.8",1952,"ratio"
"宮城県","831",1953,"male"
"宮城県","862",1953,"female"
"宮城県","96.5",1953,"ratio"
"宮城県","837",1954,"male"
"宮城県","870",1954,"female"
"宮城県","96.2",1954,"ratio"
"宮城県","846",1955,"male"
"宮城県","881",1955,"female"
"宮城県","96.1",1955,"ratio"
"宮城県","853",1956,"male"
"宮城県","887",1956,"female"
"宮城県","96.2",1956,"ratio"
"宮城県","851",1957,"male"
"宮城県","888",1957,"female"
"宮城県","95.9",1957,"ratio"
"宮城県","852",1958,"male"
"宮城県","891",1958,"female"
"宮城県","95.5",1958,"ratio"
"宮城県","852",1959,"male"
"宮城県","894",1959,"female"
"宮城県","95.3",1959,"ratio"
"宮城県","849",1960,"male"
"宮城県","895",1960,"female"
"宮城県","94.9",1960,"ratio"
"宮城県","845",1961,"male"
"宮城県","895",1961,"female"
"宮城県","94.5",1961,"ratio"
"宮城県","842",1962,"male"
